"species","longitude","latitude","bio1","bio2","bio3","bio4","bio12","bio15","bio18","bio19"
"Capra sibirica",78.637203,31.776672,5.42166662216187,10.2633333206177,32.8573875427246,799.78466796875,780,41.2621231079102,209,211
"Capra sibirica",76.995618,43.037445,-4.47249984741211,11.1969995498657,30.693531036377,944.358276367188,510,62.6467933654785,232,40
"Capra sibirica",104.07245,43.520522,1.37933325767517,12.1466665267944,27.0720043182373,1223.34008789062,161,107.028549194336,111,4
"Capra sibirica",104.069847,43.518678,1.37933325767517,12.1466665267944,27.0720043182373,1223.34008789062,161,107.028549194336,111,4
"Capra sibirica",102.933929,43.666084,4.38983345031738,12.4689998626709,25.9597778320312,1314.55773925781,119,104.622947692871,81,4
"Capra sibirica",78.992447,42.418636,-5.69366645812988,12.8219995498657,33.6464767456055,929.78759765625,418,74.1299896240234,211,26
"Capra sibirica",76.937767,43.047626,-2.22950005531311,10.628999710083,30.3408317565918,914.259094238281,489,62.0751762390137,219,38
"Capra sibirica",79.026863,43.526447,8.61733341217041,12.6226663589478,31.3186454772949,965.931091308594,438,35.9483337402344,136,61
"Capra sibirica",79.011721,43.527736,8.61733341217041,12.6226663589478,31.3186454772949,965.931091308594,438,35.9483337402344,136,61
"Capra sibirica",104.017464,43.511799,1.10450005531311,12.1490001678467,27.0169906616211,1229.23461914062,162,107.546813964844,112,4
"Capra sibirica",104.018692,43.515598,1.10450005531311,12.1490001678467,27.0169906616211,1229.23461914062,162,107.546813964844,112,4
"Capra sibirica",104.02639,43.520275,1.10450005531311,12.1490001678467,27.0169906616211,1229.23461914062,162,107.546813964844,112,4
"Capra sibirica",104.04,43.5,0.281166821718216,11.9463329315186,26.8215847015381,1224.212890625,174,102.175743103027,116,7
"Capra sibirica",104.05,43.49,0.556833326816559,11.9729995727539,26.9225578308105,1219.17626953125,170,105.33829498291,116,5
"Capra sibirica",77.106171,34.313042,1.64833331108093,12.3406667709351,31.8485260009766,969.552062988281,106,35.7140808105469,28,29
"Capra sibirica",104.074608,43.488138,0.556833326816559,11.9729995727539,26.9225578308105,1219.17626953125,170,105.33829498291,116,5
"Capra sibirica",104.051937,43.496317,0.556833326816559,11.9729995727539,26.9225578308105,1219.17626953125,170,105.33829498291,116,5
"Capra sibirica",100.866535,44.704613,3.0843334197998,11.9519996643066,25.5231914520264,1294.54248046875,135,115.609870910645,98,4
"Capra sibirica",104.02635,43.502422,1.10450005531311,12.1490001678467,27.0169906616211,1229.23461914062,162,107.546813964844,112,4
"Capra sibirica",104.099496,43.481803,0.71916663646698,12.0023336410522,27.0908584594727,1209.3837890625,173,105.663261413574,118,4
"Capra sibirica",74.511881,42.550554,-5.05749988555908,12.8649997711182,32.5399627685547,995.129516601562,571,51.1799774169922,215,63
"Capra sibirica",104.0251,43.5192,1.10450005531311,12.1490001678467,27.0169906616211,1229.23461914062,162,107.546813964844,112,4
"Capra sibirica",103.46855,43.660918,3.16533327102661,13.0946664810181,27.5816555023193,1286.37451171875,139,99.2269134521484,92,6
"Capra sibirica",77.158481,34.311457,0.958666682243347,12.1873331069946,31.5668601989746,969.327087402344,102,35.7669486999512,29,27
"Capra sibirica",77.159431,34.31126,0.958666682243347,12.1873331069946,31.5668601989746,969.327087402344,102,35.7669486999512,29,27
"Capra sibirica",77.175408,34.328704,-0.590833485126495,11.9816665649414,31.2413101196289,966.703430175781,102,40.5204124450684,34,23
"Capra sibirica",77.165389,34.316437,0.958666682243347,12.1873331069946,31.5668601989746,969.327087402344,102,35.7669486999512,29,27
"Capra sibirica",104.0804,43.4917,0.556833326816559,11.9729995727539,26.9225578308105,1219.17626953125,170,105.33829498291,116,5
"Capra sibirica",74.659084,42.49007,-5.21433353424072,12.3986663818359,31.1336555480957,1015.93762207031,529,52.4002685546875,204,56
"Capra sibirica",74.674534,42.452844,-6.9176664352417,12.3746671676636,30.7766284942627,1024.66394042969,561,51.4156379699707,216,59
"Capra sibirica",78.492052,42.320476,-2.49483323097229,12.066333770752,32.939323425293,915.448120117188,435,61.5283889770508,199,37
"Capra sibirica",77.592546,33.788419,-6.5513334274292,11.7626667022705,31.5759334564209,936.365173339844,138,76.4674606323242,66,20
"Capra sibirica",101.662961,44.872792,-2.25049996376038,10.5229997634888,25.3370895385742,1152.97973632812,236,115.804779052734,169,5
"Capra sibirica",77.1306,34.3324,0.958666682243347,12.1873331069946,31.5668601989746,969.327087402344,102,35.7669486999512,29,27
"Capra sibirica",77.1363,34.3313,0.958666682243347,12.1873331069946,31.5668601989746,969.327087402344,102,35.7669486999512,29,27
"Capra sibirica",77.130635,34.332674,0.958666682243347,12.1873331069946,31.5668601989746,969.327087402344,102,35.7669486999512,29,27
"Capra sibirica",77.125854,34.288084,4.09516668319702,12.331000328064,31.8696365356445,967.135864257812,114,41.5133247375488,26,36
"Capra sibirica",77.134251,34.335638,-3.8898332118988,11.6309995651245,30.2575454711914,982.873107910156,103,51.0147933959961,40,19
"Capra sibirica",77.144165,34.338072,-3.8898332118988,11.6309995651245,30.2575454711914,982.873107910156,103,51.0147933959961,40,19
"Capra sibirica",77.0719,34.3259,2.82666659355164,12.7786664962769,32.6252708435059,969.3056640625,112,39.6513023376465,26,35
"Capra sibirica",77.096665,34.308863,1.64833331108093,12.3406667709351,31.8485260009766,969.552062988281,106,35.7140808105469,28,29
"Capra sibirica",77.132263,34.336632,-3.8898332118988,11.6309995651245,30.2575454711914,982.873107910156,103,51.0147933959961,40,19
"Capra sibirica",77.149145,34.336914,-3.8898332118988,11.6309995651245,30.2575454711914,982.873107910156,103,51.0147933959961,40,19
"Capra sibirica",77.155668,34.344426,-3.8898332118988,11.6309995651245,30.2575454711914,982.873107910156,103,51.0147933959961,40,19
"Capra sibirica",77.113096,34.350095,-3.51500010490417,11.6333332061768,30.3742389678955,976.62158203125,103,47.6020622253418,37,21
"Capra sibirica",74.443359,41.804078,1.18233346939087,13.7806663513184,29.911153793335,1195.978515625,369,46.272518157959,118,53
"Capra sibirica",77.755737,33.513919,-6.30033349990845,12.1213331222534,32.2170257568359,942.428039550781,145,73.3452682495117,67,22
"Capra sibirica",68.300003,34.989201,2.68666648864746,12.1006660461426,33.9334449768066,850.535766601562,566,97.3460083007812,11,189
"Capra sibirica",71.782829,36.716671,-2.42533349990845,10.8466663360596,31.7748603820801,835.360534667969,516,58.5560646057129,51,151
"Capra sibirica",102.066673,44.583328,1.51800000667572,11.7133331298828,24.651346206665,1299.98193359375,179,109.787055969238,124,6
